bioguide_id,representative,party,party_code,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
O000176,Olszewski,Democratic,D,MD,374,1,2,5,0,382,379,1.3,98.7,0.3
R000606,Raskin,Democratic,D,MD,378,2,0,2,0,382,380,0.5,99.5,0.5
G000592,Golden (ME),Democratic,D,ME,263,11,0,108,0,382,371,29.1,70.9,2.9
P000597,Pingree,Democratic,D,ME,365,14,0,3,0,382,368,0.8,99.2,3.7
D000624,Dingell,Democratic,D,MI,375,6,0,1,0,382,376,0.3,99.7,1.6
M001237,McDonald Rivet,Democratic,D,MI,336,0,1,45,0,382,381,11.8,88.2,0.0
S001221,Scholten,Democratic,D,MI,345,4,0,33,0,382,378,8.7,91.3,1.0
S001215,Stevens,Democratic,D,MI,364,1,0,17,0,382,381,4.5,95.5,0.3
T000488,Thanedar,Democratic,D,MI,369,2,0,11,0,382,380,2.9,97.1,0.5
T000481,Tlaib,Democratic,D,MI,374,7,0,1,0,382,375,0.3,99.7,1.8
C001119,Craig,Democratic,D,MN,360,1,0,21,0,382,381,5.5,94.5,0.3
M001143,McCollum,Democratic,D,MN,377,1,2,2,0,382,379,0.5,99.5,0.3
M001234,Morrison,Democratic,D,MN,374,1,0,7,0,382,381,1.8,98.2,0.3
O000173,Omar,Democratic,D,MN,371,8,0,3,0,382,374,0.8,99.2,2.1
B001324,Bell,Democratic,D,MO,365,8,1,8,0,382,373,2.1,97.9,2.1
C001061,Cleaver,Democratic,D,MO,360,20,0,2,0,382,362,0.6,99.4,5.2
T000193,Thompson (MS),Democratic,D,MS,369,8,0,5,0,382,374,1.3,98.7,2.1
A000370,Adams,Democratic,D,NC,381,0,0,1,0,382,382,0.3,99.7,0.0
D000230,Davis (NC),Democratic,D,NC,271,0,2,109,0,382,380,28.7,71.3,0.0
F000477,Foushee,Democratic,D,NC,371,11,0,0,0,382,371,0.0,100.0,2.9
R000305,Ross,Democratic,D,NC,377,0,1,4,0,382,381,1.0,99.0,0.0
G000604,Goodlander,Democratic,D,NH,343,0,2,37,0,382,380,9.7,90.3,0.0
P000614,Pappas,Democratic,D,NH,340,0,2,40,0,382,380,10.5,89.5,0.0
C001136,Conaway,Democratic,D,NJ,358,6,2,16,0,382,374,4.3,95.7,1.6
G000583,Gottheimer,Democratic,D,NJ,296,44,0,42,0,382,338,12.4,87.6,11.5
M001229,McIver,Democratic,D,NJ,381,1,0,0,0,382,381,0.0,100.0,0.3
M001246,Mejia,Democratic,D,NJ,31,0,0,1,0,32,32,3.1,96.9,0.0
M001226,Menendez,Democratic,D,NJ,378,0,0,4,0,382,382,1.0,99.0,0.0
N000188,Norcross,Democratic,D,NJ,315,59,0,8,0,382,323,2.5,97.5,15.4
P000034,Pallone,Democratic,D,NJ,375,2,1,4,0,382,379,1.1,98.9,0.5
P000621,Pou,Democratic,D,NJ,368,0,1,13,0,382,381,3.4,96.6,0.0
S001207,Sherrill,Democratic,D,NJ,94,102,0,7,0,203,101,6.9,93.1,50.2
W000822,Watson Coleman,Democratic,D,NJ,377,5,0,0,0,382,377,0.0,100.0,1.3
L000273,Leger Fernandez,Democratic,D,NM,347,31,0,4,0,382,351,1.1,98.9,8.1
S001218,Stansbury,Democratic,D,NM,373,8,0,1,0,382,374,0.3,99.7,2.1
V000136,Vasquez,Democratic,D,NM,339,2,0,41,0,382,380,10.8,89.2,0.5
H001066,Horsford,Democratic,D,NV,343,5,2,32,0,382,375,8.5,91.5,1.3
L000590,Lee (NV),Democratic,D,NV,332,4,1,45,0,382,377,11.9,88.1,1.0
T000468,Titus,Democratic,D,NV,328,39,1,14,0,382,342,4.1,95.9,10.2
C001067,Clarke (NY),Democratic,D,NY,369,12,0,1,0,382,370,0.3,99.7,3.1
E000297,Espaillat,Democratic,D,NY,375,4,0,3,0,382,378,0.8,99.2,1.0
G000602,Gillen,Democratic,D,NY,309,11,1,61,0,382,370,16.5,83.5,2.9
G000599,Goldman (NY),Democratic,D,NY,354,21,0,7,0,382,361,1.9,98.1,5.5
J000294,Jeffries,Democratic,D,NY,377,0,1,4,0,382,381,1.0,99.0,0.0
K000402,Kennedy (NY),Democratic,D,NY,370,0,0,12,0,382,382,3.1,96.9,0.0
L000606,Latimer,Democratic,D,NY,360,11,1,10,0,382,370,2.7,97.3,2.9
M001231,Mannion,Democratic,D,NY,356,0,0,26,0,382,382,6.8,93.2,0.0
M001137,Meeks,Democratic,D,NY,363,12,1,6,0,382,369,1.6,98.4,3.1
M001188,Meng,Democratic,D,NY,367,10,0,5,0,382,372,1.3,98.7,2.6
M001206,Morelle,Democratic,D,NY,363,5,1,13,0,382,376,3.5,96.5,1.3
N000002,Nadler,Democratic,D,NY,340,42,0,0,0,382,340,0.0,100.0,11.0
O000172,Ocasio-Cortez,Democratic,D,NY,370,12,0,0,0,382,370,0.0,100.0,3.1
R000622,Riley (NY),Democratic,D,NY,331,6,0,45,0,382,376,12.0,88.0,1.6
R000579,Ryan,Democratic,D,NY,348,1,0,33,0,382,381,8.7,91.3,0.3
S001201,Suozzi,Democratic,D,NY,316,7,0,59,0,382,375,15.7,84.3,1.8
T000469,Tonko,Democratic,D,NY,377,4,0,1,0,382,378,0.3,99.7,1.0
T000486,Torres (NY),Democratic,D,NY,360,9,0,13,0,382,373,3.5,96.5,2.4
V000081,Velázquez,Democratic,D,NY,369,12,0,1,0,382,370,0.3,99.7,3.1
B001281,Beatty,Democratic,D,OH,349,26,1,6,0,382,355,1.7,98.3,6.8
B001313,Brown,Democratic,D,OH,380,0,0,2,0,382,382,0.5,99.5,0.0
