representative,party,state,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
Wittman,Republican,VA,VA,9,10,0,363,0,382,372,97.6,2.4,2.6
Baumgartner,Republican,WA,WA,5,6,0,371,0,382,376,98.7,1.3,1.6
Newhouse,Republican,WA,WA,18,7,0,357,0,382,375,95.2,4.8,1.8
Fitzgerald,Republican,WI,WI,3,3,0,376,0,382,379,99.2,0.8,0.8
Grothman,Republican,WI,WI,1,8,0,373,0,382,374,99.7,0.3,2.1
Steil,Republican,WI,WI,4,3,0,375,0,382,379,98.9,1.1,0.8
Tiffany,Republican,WI,WI,3,9,0,370,0,382,373,99.2,0.8,2.4
Van Orden,Republican,WI,WI,12,29,1,340,0,382,352,96.6,3.4,7.6
Wied,Republican,WI,WI,3,3,0,376,0,382,379,99.2,0.8,0.8
Miller (WV),Republican,WV,WV,2,7,0,373,0,382,375,99.5,0.5,1.8
Moore (WV),Republican,WV,WV,10,6,0,366,0,382,376,97.3,2.7,1.6
Hageman,Republican,WY,WY,5,1,0,376,0,382,381,98.7,1.3,0.3
